match_id,puuid,win,total_minions_killed,surrender,total_damage_dealt_champions,vision_score,time_played,minionsPerMinute,visionScorePerMinute,damageDealtPerMinute
NA1_5274110401,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,225,False,39953,33,35,6.43,0.94,1141.51
NA1_5274081875,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,161,True,14755,12,18,8.94,0.67,819.72
NA1_5273518673,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,False,324,False,42742,37,37,8.76,1.0,1155.19
NA1_5273494666,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,False,127,True,13381,11,18,7.06,0.61,743.39
NA1_5273446628,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,222,False,15931,22,26,8.54,0.85,612.73
NA1_5273401047,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,263,True,40960,24,31,8.48,0.77,1321.29
NA1_5272719669,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,False,274,False,23481,31,34,8.06,0.91,690.62
NA1_5272692880,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,False,200,True,16206,20,22,9.09,0.91,736.64
NA1_5272668190,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,False,242,False,16190,21,27,8.96,0.78,599.63
NA1_5272590685,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,273,False,32020,27,26,10.5,1.04,1231.54
NA1_5272066072,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,False,258,False,45334,30,37,6.97,0.81,1225.24
NA1_5271665831,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,50,True,16314,169,42,1.19,4.02,388.43
NA1_5271639795,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,False,210,False,17072,28,27,7.78,1.04,632.3
NA1_5271606671,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,False,198,False,33556,22,30,6.6,0.73,1118.53
NA1_5271578042,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,False,222,False,17570,19,27,8.22,0.7,650.74
NA1_5270704441,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,198,True,27249,33,25,7.92,1.32,1089.96
NA1_5270676713,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,220,True,30795,24,25,8.8,0.96,1231.8
NA1_5270647569,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,False,277,True,20029,44,32,8.66,1.38,625.91
NA1_5270624111,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,169,True,20801,21,22,7.68,0.95,945.5
NA1_5270199178,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,222,False,29556,41,31,7.16,1.32,953.42
NA1_5270169555,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,167,True,9275,10,15,11.13,0.67,618.33
NA1_5270129314,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,220,False,29258,16,28,7.86,0.57,1044.93
NA1_5270064853,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,114,True,9634,8,15,7.6,0.53,642.27
NA1_5269449400,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,False,212,True,18426,17,27,7.85,0.63,682.44
NA1_5269415660,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,False,221,True,19094,23,25,8.84,0.92,763.76
NA1_5269384285,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,245,False,33877,27,26,9.42,1.04,1302.96
NA1_5268769873,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,264,False,22418,31,28,9.43,1.11,800.64
