match_id,puuid,win,total_minions_killed,surrender,total_damage_dealt_champions,vision_score,time_played,minionsPerMinute,visionScorePerMinute,damageDealtPerMinute
TR1_1610071378,GAvJH_2OEkjNk8Bnziydd8jwZEEc6PTCPc-0rOfq7Bai1rQlPM8XIKKjeE3F8xzmrLgywYSHg7eo_w,False,216,False,29061,25,37,5.84,0.68,785.43
TR1_1609710495,GAvJH_2OEkjNk8Bnziydd8jwZEEc6PTCPc-0rOfq7Bai1rQlPM8XIKKjeE3F8xzmrLgywYSHg7eo_w,False,243,False,15595,23,32,7.59,0.72,487.34
TR1_1609671675,GAvJH_2OEkjNk8Bnziydd8jwZEEc6PTCPc-0rOfq7Bai1rQlPM8XIKKjeE3F8xzmrLgywYSHg7eo_w,True,194,False,17272,14,27,7.19,0.52,639.7
TR1_1609054970,GAvJH_2OEkjNk8Bnziydd8jwZEEc6PTCPc-0rOfq7Bai1rQlPM8XIKKjeE3F8xzmrLgywYSHg7eo_w,False,234,False,18823,24,31,7.55,0.77,607.19
TR1_1608374422,GAvJH_2OEkjNk8Bnziydd8jwZEEc6PTCPc-0rOfq7Bai1rQlPM8XIKKjeE3F8xzmrLgywYSHg7eo_w,False,189,False,26973,17,32,5.91,0.53,842.91
TR1_1608359674,GAvJH_2OEkjNk8Bnziydd8jwZEEc6PTCPc-0rOfq7Bai1rQlPM8XIKKjeE3F8xzmrLgywYSHg7eo_w,True,204,False,22313,21,34,6.0,0.62,656.26
TR1_1605530992,GAvJH_2OEkjNk8Bnziydd8jwZEEc6PTCPc-0rOfq7Bai1rQlPM8XIKKjeE3F8xzmrLgywYSHg7eo_w,False,153,False,19424,9,26,5.88,0.35,747.08
TR1_1605513419,GAvJH_2OEkjNk8Bnziydd8jwZEEc6PTCPc-0rOfq7Bai1rQlPM8XIKKjeE3F8xzmrLgywYSHg7eo_w,True,208,False,38771,11,31,6.71,0.35,1250.68
TR1_1605470687,GAvJH_2OEkjNk8Bnziydd8jwZEEc6PTCPc-0rOfq7Bai1rQlPM8XIKKjeE3F8xzmrLgywYSHg7eo_w,True,186,False,20692,14,29,6.41,0.48,713.52
TR1_1605451316,GAvJH_2OEkjNk8Bnziydd8jwZEEc6PTCPc-0rOfq7Bai1rQlPM8XIKKjeE3F8xzmrLgywYSHg7eo_w,False,194,False,28478,13,34,5.71,0.38,837.59
